Dn,PrCode ,Product Description           ,Unit ,OBQty  ,OBVal    ,RcptQty,RcptVal  ,CBQty  ,CBVal    ,AdjQty ,SaleQty,SaleVal
01,0015126,LEVOCET M DRY SYP 30ml        ,30ml ,     0 ,       0 ,     0,       0,     0 ,       0 ,     1 ,     0,       0
01,0015163,LEVOCET M TABS                ,10s  ,    71 ,    5680 ,     0,       0,    17 ,    1360 ,     1 ,    53,    4240
01,0015121,LEVOCET SYRUP 30ml            ,30ml ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
01,0015028,LEVOCET TABS                  ,10s  ,    96 ,    3648 ,   260,    9880,   134 ,    5092 ,     0 ,   222,    8436
01,0015262,LINOWIN 600MG TABS            ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
01,0015075,LYCORTIN -S 100mg INJ         ,VIAL ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
01,0015050,MENTHOPAS 6 PATCHES           ,     ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
01,0015261,MPX CV FORTE DRY SYP          ,30ml ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
01,0015256,MPX-CV 375 TABS               ,6s   ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
01,0015257,MPX-CV 625 TABS               ,10S  ,    40 ,    4920 ,     0,       0,     0 ,       0 ,    40 ,     0,       0
01,0015258,MPX-CV DRY SYRUP              ,30ml ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
01,0015259,MPX-CV KT DT TABS             ,6s   ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
01,0015181,RABETERO L TABS               ,15s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
01,0015197,VETORY D TABS                 ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
01,0015177,VETORY MX TAB                 ,10s  ,     9 ,     306 ,     0,       0,     4 ,     136 ,     0 ,     5,     170
01,0015003,VETORY NANO GEL               ,30gm ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
01,0015176,VETORY SP TAB                 ,10s  ,    27 ,    1323 ,     0,       0,    17 ,     833 ,     0 ,    10,     490
01,0015176,*                             ,*    ,   937 ,  132886 ,   950,   75150,  1101 ,  144682 ,    54 ,   743,   57892
02,0015031,C FURO 500mg TABS             ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
02,0015255,HIFEN LX 200                  ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
02,0015159,LANOL 650 TABS                ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
02,0015157,LANOL DROPS                   ,15ml ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
02,0015111,LORNOXI 4mg TABS              ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
02,0015112,LORNOXI 8mg TABS              ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
02,0015132,LORNOXI P TABS                ,10s  ,     7 ,     308 ,     0,       0,     1 ,      44 ,     0 ,     6,     264
02,0015173,LORNOXI T 4 TABS              ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
02,0015140,NADISKIN CREAM 10gm           ,10gm ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
02,0015193,POD AZ 500 TABS               ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
02,0015191,POD-AZ 125 DT TABS            ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
02,0015192,POD-AZ 250 TABS               ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
02,0015115,QULEF 250 TABS                ,5s   ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
02,0015116,QULEF 500 TABS                ,5s   ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
02,0015117,QULEF 750 TABS                ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
02,0015133,QULEF OZ TAB                  ,6s   ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
02,0015189,QULEF POD TABS                ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
02,0015190,RABEZ L TABS                  ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
02,0015114,S GEL 25gm                    ,25gm ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
02,0015194,S-GEL 10gm                    ,10gm ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
02,0015194,*                             ,*    ,     7 ,     308 ,     0,       0,     1 ,      44 ,     0 ,     6,     264
03,0015062,ACBOR PATCHES                 ,1x4  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
03,0015015,ADABOR GEL 15gm               ,15gm ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
03,0015066,BILASET 20 TAB                ,10s  ,    50 ,    2850 ,     0,       0,    29 ,    1653 ,     0 ,    21,    1197
03,0015069,BILASET 40 TAB                ,10s  ,    21 ,    2394 ,    39,    4446,    60 ,    6840 ,     0 ,     0,       0
03,0015068,BILASET M TAB                 ,10s  ,     1 ,      73 ,     0,       0,     0 ,       0 ,     0 ,     1,      73
03,0015234,BORIT SB 130 CAPS             ,10s  ,    12 ,    2016 ,     0,       0,    12 ,    2016 ,     0 ,     0,       0
03,0015235,BORIT SB 65MG CAPS            ,10s  ,    27 ,    2538 ,     0,       0,    27 ,    2538 ,     0 ,     0,       0
03,0015054,HETERONOX 10gm CREAM          ,10gm ,     2 ,     302 ,    24,    3624,    26 ,    3926 ,     0 ,     0,       0
03,0015052,HETERONOX 5gm CREAM           ,5gm  ,    30 ,    2730 ,     0,       0,    14 ,    1274 ,     0 ,    16,    1456
03,0015047,ITBOR 100 CAPS                ,7s   ,    61 ,    3721 ,     0,       0,    37 ,    2257 ,     0 ,    24,    1464
03,0015032,ITBOR 200mg CAP               ,10s  ,     0 ,       0 ,   140,   17080,   125 ,   15250 ,     0 ,    15,    1830
03,0015055,LULIBOR 15gm CREAM            ,15gm ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
03,0015013,LULIBOR 30gm CREAM            ,30gm ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
03,0015012,LULIBOR LOTION                ,30ml ,     0 ,       0 ,    40,    7800,     2 ,     390 ,     0 ,    38,    7410
03,0015144,MINOSTRONG 60ml               ,60ml ,    90 ,   51570 ,     0,       0,    90 ,   51570 ,     0 ,     0,       0
03,0079003,MOISTE 50gm CREAM             ,50gm ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
03,0079059,MOISTE CREAM 100GM            ,100gm,    16 ,    3440 ,     0,       0,     2 ,     430 ,     0 ,    14,    3010
03,0079001,MOISTE LOT 100ml              ,100ml,   147 ,   31605 ,     0,       0,    76 ,   16340 ,     1 ,    70,   15050
03,0015077,NAFBOR 10gm CREAM             ,10gm ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
03,0015076,NAFBOR 30gm CREAM             ,30gm ,    15 ,    4800 ,     0,       0,     1 ,     320 ,     0 ,    14,    4480
03,0015039,SPARKEL FACIAL MASK           ,PACK ,   585 ,   41535 ,     0,       0,   510 ,   36210 ,     0 ,    75,    5325
03,0015327,SPARKEL GLOW FACI MASK        ,PACK ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
03,0015326,SPARKEL YOUTH FACIAL MASK     ,PACK ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
03,0015080,TOFUS TAB                     ,10s  ,   267 ,   65682 ,     0,       0,   231 ,   56826 ,     0 ,    36,    8856
03,0015017,TREBOR 0.025% CREAM           ,20gm ,    30 ,    3480 ,     0,       0,    28 ,    3248 ,     1 ,     1,     116
03,0015016,TREBOR 0.05% GEL              ,20gm ,     7 ,     777 ,     0,       0,     2 ,     222 ,     0 ,     5,     555
03,0015024,ZEBOR 10% TUBE                ,15gm ,    45 ,    5490 ,     0,       0,    30 ,    3660 ,     0 ,    15,    1830
03,0015030,ZEBOR 20% TUBE                ,15gm ,    31 ,    4402 ,     0,       0,    30 ,    4260 ,     0 ,     1,     142
03,0015030,*                             ,*    ,  1437 ,  229405 ,   243,   32950,  1332 ,  209230 ,     2 ,   346,   52794
04,0025187,COMBIHEXT TABS                ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
04,0025187,*                             ,*    ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
15,0015264,LEVOCET SYRUP 60ML            ,60ml ,     0 ,       0 ,   450,   33300,   250 ,   18500 ,     5 ,   195,   14430
15,0015264,*                             ,*    ,     0 ,       0 ,   450,   33300,   250 ,   18500 ,     5 ,   195,   14430
15,0015264,**                            ,**   ,  3281 ,  478053 ,  3252,  382193,  3845 ,  551502 ,    66 ,  2633,  302004
